Year,Geography,Measure type,Annual Mean Temperature,Unit of Measure
1902,UK,Annual Mean Temperature,7.725575014,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1913,UK,Annual Mean Temperature,8.592562959,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1924,UK,Annual Mean Temperature,8.191917049,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1935,UK,Annual Mean Temperature,8.521009342,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1946,UK,Annual Mean Temperature,8.349250712,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1957,UK,Annual Mean Temperature,8.836948082,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1968,UK,Annual Mean Temperature,8.156050765,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1979,UK,Annual Mean Temperature,7.594574274,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1947,UK,Annual Mean Temperature,8.373648384,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1958,UK,Annual Mean Temperature,8.251247233,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1969,UK,Annual Mean Temperature,8.115813178,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1903,UK,Annual Mean Temperature,8.019626877,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1914,UK,Annual Mean Temperature,8.695387288,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1925,UK,Annual Mean Temperature,8.123022658,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1936,UK,Annual Mean Temperature,8.255324918,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1904,UK,Annual Mean Temperature,7.992343798,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1915,UK,Annual Mean Temperature,7.810789781,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1926,UK,Annual Mean Temperature,8.585211123,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
